gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
IFI6,0,2.750921729,0.933,0.283,0,up
ISG15,0,2.280801741,0.934,0.433,0,up
IFIT3,0,2.091194294,0.616,0.059,0,up
MX1,0,2.068471447,0.934,0.366,0,up
ISG20,0,2.045930438,0.965,0.589,0,up
IFITM1,0,1.909605947,0.992,0.722,0,up
LY6E,0,1.892616289,0.981,0.563,0,up
IFIT1,0,1.837386346,0.626,0.061,0,up
MX2,0,1.8147565,0.75,0.178,0,up
OAS1,0,1.79603202,0.69,0.134,0,up
HERC5,0,1.539541015,0.666,0.166,0,up
XAF1,0,1.50184701,0.724,0.229,0,up
RSAD2,0,1.501029244,0.536,0.081,0,up
IFI35,5.63E-296,1.461352076,0.687,0.226,9.17E-292,up
TRIM22,5.80E-264,1.421324668,0.784,0.334,9.44E-260,up
MT2A,3.19E-163,1.420873353,0.653,0.296,5.19E-159,up
IRF7,3.32E-271,1.405435006,0.827,0.378,5.41E-267,up
STAT1,3.90E-263,1.40517686,0.673,0.232,6.36E-259,up
SAMD9L,3.12E-281,1.385459456,0.6,0.168,5.08E-277,up
OAS3,0,1.36536792,0.517,0.104,0,up
CMPK2,0,1.342149928,0.487,0.055,0,up
EIF2AK2,4.55E-264,1.330481032,0.724,0.269,7.41E-260,up
IFI44L,3.80E-255,1.301047786,0.495,0.116,6.19E-251,up
RPS4Y1,1.94E-276,1.271661173,0.758,0.236,3.16E-272,up
RNF213,3.10E-218,1.268238488,0.899,0.542,5.05E-214,up
OASL,1.16E-193,1.219180927,0.773,0.372,1.90E-189,up
OAS2,5.64E-251,1.217437987,0.597,0.176,9.19E-247,up
TRBV4-2,1.01E-29,1.205624381,0.089,0.025,1.65E-25,up
GZMK,1.71E-155,1.193052558,0.679,0.298,2.78E-151,up
PLSCR1,4.05E-174,1.192496938,0.645,0.27,6.60E-170,up
EPSTI1,3.11E-223,1.192485087,0.555,0.166,5.07E-219,up
GIMAP4,2.65E-167,1.183262553,0.78,0.413,4.31E-163,up
BST2,1.37E-218,1.177876031,0.82,0.416,2.23E-214,up
SP110,1.18E-169,1.127824007,0.628,0.267,1.93E-165,up
UBE2L6,2.99E-180,1.101108517,0.785,0.437,4.87E-176,up
SAMD9,2.03E-151,1.06991055,0.579,0.239,3.30E-147,up
HELZ2,6.08E-180,1.029196524,0.423,0.114,9.91E-176,up
IFIT2,0,1.016479158,0.3,0.022,0,up
DDX58,3.67E-184,1.007814197,0.419,0.109,5.98E-180,up
PPM1K,2.17E-133,0.986874993,0.583,0.262,3.54E-129,up
C19orf66,7.47E-138,0.972677088,0.705,0.384,1.22E-133,up
USP18,4.89E-222,0.971475613,0.381,0.075,7.98E-218,up
LAP3,1.23E-130,0.957767089,0.532,0.227,2.01E-126,up
GBP1,2.22E-130,0.938135811,0.436,0.152,3.62E-126,up
PARP9,2.51E-142,0.915359103,0.498,0.182,4.08E-138,up
IFI44,6.03E-137,0.907168311,0.407,0.129,9.83E-133,up
PARP14,1.87E-111,0.900644449,0.462,0.187,3.05E-107,up
IFIH1,1.28E-150,0.894802688,0.383,0.106,2.08E-146,up
PSMB9,4.99E-140,0.887182876,0.905,0.687,8.14E-136,up
DRAP1,5.69E-137,0.886415706,0.875,0.632,9.28E-133,up
SP100,4.25E-122,0.867863583,0.79,0.511,6.93E-118,up
NMI,6.64E-104,0.844919717,0.494,0.221,1.08E-99,up
GIMAP7,2.22E-99,0.809611349,0.764,0.471,3.62E-95,up
TRBV4-1,3.25E-11,0.794980294,0.066,0.029,5.29E-07,up
RTP4,1.01E-178,0.790687178,0.275,0.046,1.65E-174,up
