"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FTH1",2.02219340608025e-287,1.97209517572655,0.999,0.985,3.29516415520776e-283,"Naive_like_1_CM","FTH1"
"CREM",1.2800934844424e-227,1.05169332232307,0.91,0.391,2.08591233289889e-223,"Naive_like_1_CM","CREM"
"PABPC1",3.12496582328715e-220,1.40555930000542,0.986,0.893,5.09213180904641e-216,"Naive_like_1_CM","PABPC1"
"CD7",6.54808991103307e-204,1.24104019067545,0.964,0.761,1.06701125100284e-199,"Naive_like_1_CM","CD7"
"RPS16",6.70052458957463e-169,0.700644363591838,1,0.987,1.09185048187119e-164,"Naive_like_1_CM","RPS16"
"DDIT4",9.16789470082932e-128,0.940905912256253,0.619,0.233,1.49390844150014e-123,"Naive_like_1_CM","DDIT4"
"SRGN",2.91194255573624e-117,0.682878754806003,0.995,0.923,4.7450103945722e-113,"Naive_like_1_CM","SRGN"
"RPL28",1.8451201178073e-115,0.448336056781913,1,0.993,3.006623231967e-111,"Naive_like_1_CM","RPL28"
"SOCS3",2.37023281739615e-114,0.871842345069601,0.359,0.087,3.86229437594703e-110,"Naive_like_1_CM","SOCS3"
"RPL12",3.3323829977965e-111,0.554341489056596,0.999,0.971,5.4301180949094e-107,"Naive_like_1_CM","RPL12"
"RPS4X",5.28257804900672e-107,0.52165967699138,1,0.981,8.60796093085645e-103,"Naive_like_1_CM","RPS4X"
"ABLIM1",4.69667630399353e-100,1.16334547508979,0.65,0.332,7.65323403735746e-96,"Naive_like_1_CM","ABLIM1"
"ZFP36",1.20237303938806e-93,0.764007840475383,0.924,0.751,1.95926686768284e-89,"Naive_like_1_CM","ZFP36"
"PDE4B",3.82837875867511e-89,0.813131753018568,0.581,0.254,6.23834318726109e-85,"Naive_like_1_CM","PDE4B"
"SIPA1L1",6.50082625293019e-89,0.792243027741676,0.359,0.111,1.05930963791497e-84,"Naive_like_1_CM","SIPA1L1"
"RPLP0",1.12910803069712e-83,0.441009787392592,0.998,0.986,1.83988153602095e-79,"Naive_like_1_CM","RPLP0"
"ADK",5.26491082503609e-83,0.842653319573612,0.56,0.26,8.57917218939631e-79,"Naive_like_1_CM","ADK"
"SATB1",5.50298115702754e-83,0.85616249911463,0.481,0.198,8.96710779537638e-79,"Naive_like_1_CM","SATB1"
"BACH2",2.25941920047668e-79,0.747613837494072,0.395,0.14,3.68172358717674e-75,"Naive_like_1_CM","BACH2"
"SPOCK2",5.91580366229717e-74,0.698277145022812,0.807,0.537,9.63980206771323e-70,"Naive_like_1_CM","SPOCK2"
"SESN3",4.48257185559024e-72,0.769980524582271,0.292,0.089,7.30435083868429e-68,"Naive_like_1_CM","SESN3"
"CD8A",4.54739778625916e-72,0.605963001946923,0.942,0.781,7.40998469270931e-68,"Naive_like_1_CM","CD8A"
"PIK3R1",1.167930972535e-70,0.613368292063286,0.674,0.365,1.90314351974578e-66,"Naive_like_1_CM","PIK3R1"
"RPL10",4.9572407375488e-69,0.315611174258269,1,0.996,8.07782378183577e-65,"Naive_like_1_CM","RPL10"
"ARID5B",1.76599191267253e-68,0.631249600753695,0.737,0.44,2.87768382169988e-64,"Naive_like_1_CM","ARID5B"
"RPL32",5.89889095150961e-66,0.326885744758703,1,0.994,9.61224280548491e-62,"Naive_like_1_CM","RPL32"
"TENT5C",9.91531073549749e-66,0.614779596766676,0.44,0.18,1.61569988434932e-61,"Naive_like_1_CM","TENT5C"
"RPS18",4.51914326159113e-63,0.389458715491138,0.999,0.984,7.36394394476275e-59,"Naive_like_1_CM","RPS18"
"LUZP1",2.01688655157457e-62,0.567279968652133,0.345,0.127,3.28651663579076e-58,"Naive_like_1_CM","LUZP1"
"SPTBN1",3.90427667246947e-61,0.647542869916501,0.399,0.163,6.36201883778901e-57,"Naive_like_1_CM","SPTBN1"
"ARID5A",4.16482214693778e-61,0.628970095464281,0.695,0.409,6.78657768843512e-57,"Naive_like_1_CM","ARID5A"
"PLEKHG2",9.0890801016753e-61,0.481018249314402,0.216,0.056,1.48106560256799e-56,"Naive_like_1_CM","PLEKHG2"
"MT-CO3",3.24258401717951e-60,0.396352460620411,0.999,0.989,5.28379065599401e-56,"Naive_like_1_CM","MT-CO3"
"SMIM3",1.02490150095402e-57,0.506528718016781,0.274,0.089,1.67007699580458e-53,"Naive_like_1_CM","SMIM3"
