"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","CXCL13",2.67709435488868e-253,-4.56125855752227,0.034,0.84,4.36232525129111e-249
"2","HAVCR2",2.72883827535082e-201,-2.13179238381085,0.082,0.791,4.44664196968416e-197
"3","LAG3",2.74688777700713e-196,-1.94013409366252,0.628,0.987,4.47605363263311e-192
"4","EEF1A1",9.23690677553508e-191,1.04520345722907,1,1,1.50515395907344e-186
"5","GNLY",3.43158528873997e-169,-2.75280037846589,0.301,0.898,5.59176822800178e-165
"6","IL7R",6.58439800321274e-167,3.17204205909086,0.729,0.046,1.07292765462352e-162
"7","TIGIT",2.66429227400626e-152,-1.78928819864626,0.58,0.96,4.34146426049319e-148
"8","GZMB",3.91068690118543e-146,-1.79716429867245,0.688,0.996,6.37246430548166e-142
"9","TNS3",1.51739189695897e-143,-1.81723825525466,0.019,0.551,2.47259009609463e-139
"10","RPS12",6.9386117650641e-139,0.885181901370183,1,1,1.1306467871172e-134
"11","LSP1",3.72394701606535e-130,-1.58413803419587,0.469,0.897,6.06817166267849e-126
"12","PTMS",2.19477831658964e-126,-1.45424927993324,0.422,0.9,3.57639126688282e-122
"13","RPL14",4.48232434073814e-126,0.878278566603934,0.995,0.992,7.3039475132328e-122
"14","RPLP0",5.39559504495852e-123,1.03237495315329,0.995,0.978,8.79212212575991e-119
"15","CCL3",4.31079667854537e-122,-1.46125127515771,0.391,0.932,7.02444318768968e-118
"16","RPS3",2.78383405261161e-120,0.79440166760272,0.998,0.999,4.53625758873062e-116
"17","RAB27A",3.82049208386701e-120,-1.27020192695926,0.72,0.972,6.22549185066129e-116
"18","BCL2A1",8.15374989248916e-119,2.22895490813687,0.637,0.085,1.32865354498111e-114
"19","ENTPD1",4.44632992339375e-110,-1.37767256344371,0.034,0.481,7.24529461017011e-106
"20","FAM3C",1.00570753099743e-107,-1.89190787071777,0.206,0.673,1.6388004217603e-103
"21","RPL10",3.29810380681946e-107,0.765573130018697,0.999,0.997,5.37426015321231e-103
"22","RPS16",8.14069087627357e-106,0.941197295908919,0.998,0.994,1.32652557828878e-101
"23","ALOX5AP",5.24626268748608e-105,-1.56713711812896,0.262,0.745,8.54878504925856e-101
"24","LINC01871",8.48869722912798e-105,-1.52882434833248,0.106,0.567,1.3832332134864e-100
"25","RPL41",2.33895828102043e-104,0.669157146715635,1,1,3.81133251892279e-100
"26","RDH10",3.6422232929646e-104,-1.68509773175269,0.105,0.57,5.93500285588582e-100
"27","PAG1",2.70158299335407e-103,-1.3450256038985,0.242,0.722,4.40222948767046e-99
"28","RPS3A",5.38521612766049e-103,0.753753719814505,0.997,0.997,8.77520968002278e-99
"29","KLRC1",1.22864754152305e-101,-1.73700902987314,0.176,0.676,2.00208116891181e-97
"30","PTMA",1.34244021120769e-101,1.07063526079174,0.989,0.961,2.18750632416294e-97
"31","RPS6",1.72035408826375e-100,0.750973406198119,0.998,0.997,2.80331698682578e-96
"32","RPS14",2.24895209813708e-100,0.672766562368681,0.997,0.997,3.66466744391437e-96
"33","GPR25",2.46362999225284e-99,-1.5020978180431,0.025,0.426,4.014485072376e-95
"34","RPL39",2.90878193038088e-99,0.730944842190445,0.996,0.992,4.73986015555565e-95
"35","PHLDA1",1.02027692000474e-97,-1.16671668670092,0.51,0.915,1.66254124114772e-93
"36","RPS27A",8.20284626007942e-96,0.632403546773863,0.999,1,1.33665379807994e-91
"37","RPL5",2.00784306895574e-95,0.839618794167138,0.993,0.976,3.27178028086337e-91
"38","RPS25",2.70851797218082e-95,0.688086937051187,0.996,0.992,4.41353003566864e-91
"39","CD3D",2.2120067405162e-94,-0.970609480754523,0.879,0.982,3.60446498367116e-90
"40","RPLP1",8.26927578961577e-94,0.565602488341732,1,1,1.34747848991789e-89
"41","RPL3",5.27059741102292e-93,1.00154073400917,0.981,0.954,8.58843848126185e-89
"42","HLA-DRB1",1.22472565027887e-92,-1.26320984738155,0.379,0.822,1.99569044712942e-88
"43","RPL32",2.24701885568627e-92,0.644734668423387,1,1,3.66151722534078e-88
"44","RPLP2",2.59768552893912e-92,0.657176095980144,0.998,0.993,4.2329285694063e-88
"45","RPL13",3.27974325911607e-92,0.642507384904447,0.999,0.999,5.34434164072963e-88
"46","RPL18A",1.15099339479201e-91,0.611548710278943,0.999,0.999,1.87554373681358e-87
"47","EEF1B2",3.30433288686066e-91,0.947773020889488,0.972,0.925,5.38441043913945e-87
"48","AHI1",1.30556486554861e-89,-1.30888924419687,0.235,0.686,2.12741794841146e-85
"49","RPS8",7.24084342006308e-89,0.822087646869008,0.992,0.986,1.17989543529928e-84
"50","EID1",2.89833423322141e-87,-1.26318388401682,0.544,0.861,4.72283563303428e-83
"51","RPL34",2.09506458593286e-85,0.697345346196509,0.999,0.992,3.4139077427776e-81
"52","ATP8B4",1.43394849749519e-84,-1.16803665070394,0.057,0.441,2.33661907666842e-80
"53","MICAL2",2.14651734436495e-83,-1.11152397230325,0.052,0.431,3.49775001264269e-79
"54","LRRN3",5.83191684932728e-83,-1.49131289997312,0.064,0.449,9.5031085059788e-79
"55","RPS23",2.37724357559936e-82,0.657517954279577,0.994,0.999,3.87371840643916e-78
"56","RPL35A",1.29289592331879e-81,0.613963440266663,0.998,0.997,2.10677390704798e-77
"57","ARL3",2.26214960286505e-81,-1.06878809400474,0.103,0.502,3.6861727778686e-77
"58","SAMSN1",7.50862104679029e-80,-1.00813109493405,0.481,0.841,1.22352979957448e-75
"59","FUT8",3.15052572182741e-79,-1.03980839417673,0.052,0.413,5.13378166371777e-75
"60","RPL19",1.11429650421769e-78,0.587364390580802,1,0.997,1.81574615362273e-74
"61","RPS13",1.1531973087247e-78,0.590587179198985,1,0.997,1.87913501456691e-74
"62","S100A4",1.20085205476914e-78,-1.55019325859934,0.276,0.686,1.95678842324632e-74
"63","RPS18",1.35083843064355e-77,0.690332768594081,0.999,0.994,2.20119122273367e-73
"64","RPL30",2.22743837221634e-77,0.568018918945401,0.998,0.997,3.62961082752653e-73
"65","RPS21",3.19656335442619e-77,0.70273907445686,0.985,0.964,5.20879998603748e-73
"66","TNIP3",1.55048764213825e-76,-1.16022482770172,0.304,0.734,2.52651961286429e-72
"67","RPL11",4.79886269005668e-76,0.627419560869241,0.999,0.996,7.81974675344737e-72
"68","GALNT2",6.35556784997955e-76,-1.12249791524465,0.126,0.52,1.03563978115417e-71
"69","TBC1D4",2.34990565424349e-75,-1.20632187930468,0.115,0.508,3.82917126358977e-71
"70","RPL8",2.68379323337973e-75,0.629071781787975,0.997,0.997,4.37324107379226e-71
"71","TAGLN2",7.38968323973118e-75,1.31842614253112,0.818,0.48,1.2041488839142e-70
