"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MX1",0,3.62192884229063,0.688,0.126,0
"STAT1",0,2.81328131485909,0.709,0.182,0
"IFI6",0,3.47143656956496,0.681,0.163,0
"ISG15",0,2.84546105184277,0.797,0.293,0
"XAF1",0,3.31495060127285,0.597,0.093,0
"IFI44L",0,4.71842598032213,0.521,0.031,0
"EIF2AK2",0,3.0420418482125,0.583,0.113,0
"EPSTI1",0,3.37154606752716,0.545,0.081,0
"OAS1",0,4.3713652936686,0.487,0.036,0
"SAMD9L",0,3.38006053456778,0.516,0.077,0
"BST2",0,2.01211918366425,0.706,0.285,0
"LY6E",0,2.15715003169256,0.868,0.464,0
"RNF213",0,1.89994158061498,0.799,0.407,0
"SLFN5",0,2.33599544409885,0.56,0.17,0
"PSMB9",0,1.69612568669849,0.848,0.459,0
"RSAD2",0,5.14484027902652,0.4,0.016,0
"IFIT3",0,5.5821666796442,0.393,0.013,0
"HERC5",0,3.39605222040576,0.444,0.066,0
"UBE2L6",0,1.86410740227816,0.649,0.273,0
"PLSCR1",0,2.59167897892637,0.494,0.119,0
"IRF7",0,2.01850645248052,0.574,0.206,0
"GBP1",0,2.73974726458778,0.472,0.105,0
"CXCR4",0,-1.30792188355455,0.451,0.81,0
"SAMD9",0,2.41415287957846,0.493,0.139,0
"CREM",0,-2.08525084257498,0.288,0.638,0
"PARP9",0,2.99449002289664,0.416,0.067,0
"FOS",0,-1.48711712810858,0.377,0.724,0
"DUSP1",0,-1.20068648397251,0.408,0.754,0
"IFI35",0,2.59790361213349,0.45,0.104,0
"DRAP1",0,1.50133738818055,0.729,0.383,0
"TSC22D3",0,-1.61787541113939,0.487,0.827,0
"IFIT1",0,5.70180179673805,0.343,0.01,0
"TUBA4A",0,-1.96828197953728,0.296,0.626,0
"GBP5",0,1.85795546282079,0.548,0.221,0
"OAS2",0,3.0722067034468,0.386,0.059,0
"ADAR",0,1.73331765426676,0.582,0.255,0
"EEF1G",0,-1.57911535040558,0.292,0.617,0
"SP100",0,1.47317272674046,0.685,0.363,0
"TRIM22",0,1.69532752169114,0.595,0.273,0
"NR4A2",0,-1.71147031583455,0.221,0.542,0
"CMPK2",0,4.64318446908584,0.336,0.017,0
"PARP14",0,2.36631822548424,0.436,0.118,0
"DUSP2",0,-1.20609332599642,0.409,0.725,0
"JUNB",0,-1.54597030436944,0.493,0.808,0
"ZNF331",0,-2.17071451594244,0.143,0.452,0
"IFI44",0,3.51041383746602,0.344,0.038,0
"SP110",0,2.0305403514359,0.449,0.144,0
"YPEL5",0,-1.69948699853062,0.333,0.634,0
"IFI16",0,1.43038195264089,0.619,0.323,0
"RPS10",0,-0.941941443572175,0.31,0.605,0
"OAS3",0,3.99239693934004,0.322,0.027,0
"RGCC",0,-1.76985791652369,0.326,0.619,0
"IL7R",0,-1.90642803292293,0.235,0.524,0
"SHISA5",0,1.37253780772464,0.568,0.281,0
"TYMP",0,2.02516080559807,0.415,0.131,0
"MTRNR2L12",0,2.01825382162951,0.473,0.191,0
"MX2",0,2.60873406253367,0.364,0.091,0
"CSRNP1",0,-1.71172335584463,0.188,0.46,0
"TAP1",0,1.25282401406896,0.645,0.374,0
"ZFP36",0,-1.5544646972703,0.581,0.852,0
"DTX3L",0,2.67803611228602,0.335,0.065,0
"PHF11",0,1.72345530124596,0.425,0.155,0
"PSMB8",0,1.12853502081041,0.7,0.43,0
"TNFAIP3",0,-1.07897097464008,0.51,0.775,0
"ZFP36L2",0,-1.60078078179998,0.617,0.881,0
"LMNA",0,-2.62498360544041,0.117,0.38,0
"SLC2A3",0,-1.46270666106339,0.318,0.579,0
"MT2A",0,0.831498034295993,0.773,0.515,0
"DNAJB1",0,-1.48970147992515,0.483,0.74,0
"C19orf66",0,1.52012304010619,0.458,0.202,0
"RPS17",0,-1.19282003700376,0.283,0.538,0
"RBCK1",0,1.42786413899864,0.456,0.201,0
"PSMB10",0,1.17001571890937,0.531,0.278,0
"DDX60",0,2.90441118692516,0.298,0.048,0
"CHST12",0,1.3358175032946,0.461,0.213,0
"MYADM",0,-1.91337266492224,0.174,0.421,0
"LCP2",0,1.16491341296233,0.532,0.286,0
"GBP4",0,2.1063902803829,0.36,0.114,0
"GNLY",0,1.61674640846952,0.438,0.193,0
"CD38",0,3.01399489191861,0.296,0.051,0
"PPM1K",0,1.59190686345936,0.43,0.187,0
"OASL",0,1.45626072827108,0.491,0.248,0
"TNFSF10",0,2.14320783037067,0.354,0.113,0
"PSME2",0,1.02767550340312,0.673,0.434,0
"TRAF3IP3",0,1.34693607263521,0.424,0.188,0
"DDIT4",0,-1.36155166626237,0.297,0.532,0
"IFIT2",0,4.41403595022738,0.254,0.019,0
"GNG5",0,0.957001499282526,0.652,0.419,0
"TSPYL2",0,-1.55211603487535,0.218,0.45,0
"IKZF3",0,1.31197004984062,0.473,0.241,0
"TRAPPC1",0,0.936624691535751,0.537,0.308,0
"DDX58",0,2.42524378503672,0.294,0.068,0
"GIMAP7",0,1.13313550075595,0.529,0.307,0
"RBX1",0,0.993782526370822,0.518,0.296,0
"PPP1R15A",0,-1.20949202308553,0.402,0.623,0
"ATP1B3",0,-1.75001432312474,0.207,0.427,0
"CHMP5",0,1.6114922886967,0.349,0.129,0
"LEPROTL1",0,-1.13671012356945,0.472,0.69,0
"DDX17",0,1.05277466722749,0.54,0.324,0
"LAG3",0,1.28376649529268,0.539,0.324,0
"IRF1",0,1.08563043795693,0.622,0.408,0
"SELENOH",0,1.38346433141121,0.383,0.169,0
"FAM177A1",0,-1.47237247445544,0.325,0.538,0
"USP18",0,3.69015180216754,0.232,0.02,0
"IRF2",0,1.53135058836726,0.348,0.136,0
"HSPA5",0,-1.121921542456,0.443,0.653,0
"CRIP1",0,-0.930961028150331,0.52,0.73,0
"DDX60L",0,2.59253357151678,0.264,0.055,0
"RPL36A",0,-1.08801981639473,0.537,0.745,0
"GABARAPL1",0,-1.23913942454591,0.25,0.457,0
"JUND",0,-1.04717601139727,0.268,0.474,0
"FOSB",0,-1.14033940931884,0.202,0.408,0
"COX5A",0,1.01924023803172,0.582,0.377,0
"PER1",0,-2.44930883542507,0.058,0.262,0
"SYNE2",0,1.01562352061522,0.608,0.404,0
"GIMAP4",0,0.945559156826427,0.479,0.277,0
"GBP2",0,1.13042498638519,0.451,0.25,0
"HELZ2",0,2.60575649475733,0.25,0.05,0
"XRN1",0,1.49111476253419,0.371,0.171,0
"TRAC",0,1.12990717403742,0.459,0.26,0
"NMI",0,1.97729616314369,0.284,0.086,0
"LAP3",0,1.43041933450864,0.356,0.158,0
"LNPEP",0,1.42679106138417,0.369,0.171,0
"LIMD2",0,0.719661174482555,0.671,0.474,0
"PTPN6",0,1.41389662072417,0.318,0.121,0
"S100A11",0,0.654745507528293,0.674,0.478,0
"PRELID1",0,0.847938382930319,0.518,0.322,0
"STAT2",0,2.62274295153241,0.244,0.048,0
"APOL6",0,1.37140804520735,0.367,0.171,0
"PRDX5",0,0.964672819404274,0.488,0.293,0
"ARPC5",0,0.865928421306887,0.513,0.319,0
"SYAP1",0,-1.56948796912202,0.181,0.374,0
"ANAPC11",0,0.893305443554944,0.468,0.275,0
"RPL17",0,-1.19440385130345,0.633,0.826,0
"ISG20",0,1.13501070216251,0.812,0.62,0
"DYNLT1",0,1.09042206592268,0.38,0.189,0
"PYURF",0,1.13014581217721,0.407,0.217,0
"IFIH1",0,2.62797264397414,0.235,0.046,0
"IFIT5",0,2.72897046163608,0.227,0.038,0
"SNX6",0,1.03235871294422,0.43,0.241,0
"GZMB",0,0.867872332864976,0.559,0.371,0
"UQCR10",0,0.669085929962327,0.628,0.441,0
"ATP5MC3",0,0.998686838200945,0.489,0.302,0
"TRANK1",0,1.80631851358926,0.283,0.097,0
"CCDC85B",0,0.753854806665375,0.53,0.348,0
"EVL",0,0.751543433803154,0.703,0.521,0
"HSH2D",0,2.23005819400274,0.237,0.056,0
"DUSP4",0,-1.20084334308936,0.354,0.534,0
