"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/usr/local/lib/R/site-library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"akima","akima","/usr/local/lib/R/site-library","0.6-2.2",NA,"R (>= 2.0.0)","sp",NA,NA,NA,"ACM | file LICENSE",NA,"yes",NA,NA,"yes","4.1.0"
"anndata","anndata","/usr/local/lib/R/site-library","0.7.5.3",NA,"R (>= 3.5.0)","assertthat, Matrix, methods, R6, reticulate (>= 1.17)",NA,"stats, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"annotate","annotate","/usr/local/lib/R/site-library","1.72.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"AnnotationDbi","AnnotationDbi","/usr/local/lib/R/site-library","1.56.2",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"AnnotationHub","AnnotationHub","/usr/local/lib/R/site-library","3.2.2",NA,"BiocGenerics (>= 0.15.10), BiocFileCache (>= 1.5.1)","utils, methods, grDevices, RSQLite, BiocManager, BiocVersion,
curl, rappdirs, AnnotationDbi (>= 1.31.19), S4Vectors,
interactiveDisplayBase, httr, yaml, dplyr",NA,"IRanges, GenomicRanges, GenomeInfoDb, VariantAnnotation,
Rsamtools, rtracklayer, BiocStyle, knitr, AnnotationForge,
rBiopaxParser, RUnit, GenomicFeatures, MSnbase, mzR,
Biostrings, SummarizedExperiment, ExperimentHub, gdsfmt,
rmarkdown, HubPub","AnnotationHubData","Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"ape","ape","/usr/local/lib/R/site-library","5.5",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"aplot","aplot","/usr/local/lib/R/site-library","0.1.1",NA,NA,"ggfun (>= 0.0.4), ggplot2, ggplotify, patchwork, magrittr,
methods, utils, yulab.utils",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.0"
"arrow","arrow","/usr/local/lib/R/site-library","6.0.0.2",NA,"R (>= 3.3)","assertthat, bit64 (>= 0.9-7), methods, purrr, R6, rlang,
stats, tidyselect, utils, vctrs",NA,"DBI, dbplyr, decor, distro, dplyr, duckdb (>= 0.2.8), hms,
knitr, lubridate, pkgload, reticulate, rmarkdown, stringi,
stringr, testthat, tibble, withr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.1.0"
"ash","ash","/usr/local/lib/R/site-library","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"askpass","askpass","/usr/local/lib/R/site-library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"assertthat","assertthat","/usr/local/lib/R/site-library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"AUCell","AUCell","/usr/local/lib/R/site-library","1.16.0",NA,NA,"data.table, graphics, grDevices, GSEABase, methods, mixtools,
R.utils, shiny, stats, SummarizedExperiment, BiocGenerics,
S4Vectors, utils",NA,"Biobase, BiocStyle, doSNOW, dynamicTreeCut, DT, GEOquery,
knitr, NMF, plyr, R2HTML, rmarkdown, reshape2, plotly, rbokeh,
Rtsne, testthat, zoo","doMC, doRNG, doParallel, foreach","GPL-3",NA,NA,NA,NA,"no","4.1.1"
"babelgene","babelgene","/usr/local/lib/R/site-library","21.4",NA,"R (>= 3.3)","dplyr, methods, rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"babelwhale","babelwhale","/usr/local/lib/R/site-library","1.0.3",NA,"R (>= 3.0.0)","crayon, dplyr, dynutils, processx (>= 3.5.0), purrr, utils",NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"backports","backports","/usr/local/lib/R/site-library","1.3.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"base64enc","base64enc","/usr/local/lib/R/site-library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"batchelor","batchelor","/usr/local/lib/R/site-library","1.10.0",NA,"SingleCellExperiment","SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
DelayedArray, DelayedMatrixStats, BiocParallel, scuttle,
ResidualMatrix, ScaledMatrix, beachmat","Rcpp","testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"beachmat","beachmat","/usr/local/lib/R/site-library","2.10.0",NA,NA,"methods, DelayedArray (>= 0.15.14), BiocGenerics, Matrix, Rcpp","Rcpp","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"beeswarm","beeswarm","/usr/local/lib/R/site-library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.0"
"BH","BH","/usr/local/lib/R/site-library","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.0"
"Biobase","Biobase","/usr/local/lib/R/site-library","2.54.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.1"
"BiocFileCache","BiocFileCache","/usr/local/lib/R/site-library","2.2.1",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, rappdirs,
filelock, curl, httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
